Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-05-24,09:02:01,BitGet,BTCUSDT,,,76822.73,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:02,BitGet,ETHUSDT,,,2119.59,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:03,BitGet,XRPUSDT,,,1.36,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:03,BitGet,BNBUSDT,,,658.44,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:03,BitGet,DOGEUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:04,BitGet,LINKUSDT,,,9.59,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:04,BitGet,SUIUSDT,,,1.07,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:05,BitGet,LTCUSDT,,,53.48,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:05,BitGet,AVAXUSDT,,,9.34,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:05,BitGet,HBARUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:06,BitGet,ADAUSDT,,,0.25,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:06,BitGet,TRXUSDT,,,0.36,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:06,BitGet,TONUSDT,,,1.77,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:07,BitGet,SHIBUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:07,BitGet,DOTUSDT,,,1.28,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:07,BitGet,BCHUSDT,,,353.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:08,BitGet,UNIUSDT,,,3.46,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:08,BitGet,NEARUSDT,,,2.38,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:09,BitGet,APTUSDT,,,0.97,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:09,BitGet,ICPUSDT,,,2.61,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:09,BitGet,ETCUSDT,,,9.03,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:10,BitGet,POLUSDT,,,0.09,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:10,BitGet,VETUSDT,,,0.01,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:11,BitGet,ATOMUSDT,,,2.12,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:11,BitGet,OPUSDT,,,0.13,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:11,BitGet,ARBUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:12,BitGet,FILUSDT,,,0.98,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:12,BitGet,ALGOUSDT,,,0.11,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:12,BitGet,INJUSDT,,,5.20,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:13,BitGet,BONKUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:13,BitGet,GRTUSDT,,,0.03,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:13,BitGet,PEPEUSDT,,,0.00,,,,BLOCKED,BLOCKED,"Failed: RSI(14) above 70 (overbought reversal in downtrend)"
2026-05-24,09:02:14,BitGet,WLDUSDT,,,0.30,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:14,BitGet,AAVEUSDT,,,86.85,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:15,BitGet,TAOUSDT,,,280.90,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:15,BitGet,RENDERUSDT,,,1.97,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-24,09:02:15,BitGet,FETUSDT,,,0.21,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
2026-05-24,09:02:16,BitGet,STXUSDT,,,0.25,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 30 (pullback in uptrend)"
